État,Marque,Année,Adresse,Prix,Image
D'occasion,BMW,2020,"Sicap Liberté,
                                                                                Dakar",2 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/df55da9d194cecfd6a07d9b0e0e8127c/-/horizon-files-prod/ed/picture/qj4qw9wd/2155e8ad169a9fb5d4e7c35e2c45773e59870b1a.jpg
Venant,BMW,2024,"Pikine,
                                                                                Dakar",28 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d923aab6c4afefab6c4c36cedf7bb64b/-/horizon-files-prod/ed/picture/qv4dwk4w/6426ad4f51029f30bcd123c27f34aff9225fa629.jpg
Venant,Yamaha,2020,"Liberte 6 extension,
                                                                                Dakar",2 600 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b8caf8fafdfacb2257e4e56155505429/-/horizon-files-prod/ed/picture/qm50g672/09a8826fe957f973721f992c9979b24cac43b337.jpg
D'occasion,Autre,2012,"Dieuppeul,
                                                                                Dakar",1 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/308ebcd7685169a7863af058985637e1/-/horizon-files-prod/ed/picture/q445n0r2/862747799f412f68489124e2068158c139fe81de.jpg
D'occasion,Honda,2008,"Hann maristes,
                                                                                Dakar",350 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cc9133713ac63f5296942171d8aeb8b2/-/horizon-files-prod/ed/picture/qrzr8vdm/5bdd9a9e7f24457935c5f94d7c6171d7594d85e9.jpg
Neuf,Yamaha,2024,"Liberte 6 extension,
                                                                                Dakar",6 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ee3bdc3c2060a19fd0a86923abe35ba0/-/horizon-files-prod/ed/picture/q6xqdx56/03aff0eb480a27669b54abfca044ee3f9ea1005f.jpg
D'occasion,Eco Vehicles,2024,"Plateau,
                                                                                Dakar",450 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/29326cbde1bcf1b7c0fd53cc795401e0/-/horizon-files-prod/ed/picture/qxj8pd74/fde0b2e0d501df8a10b37be5ab8baac3cad1645c.jpg
Neuf,Yamaha,2025,"Liberte 6 extension,
                                                                                Dakar",1 850 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/66d9c3a88103a5376281baaaddf3ee67/-/horizon-files-prod/ed/picture/qv4dpemk/03dfcd1426755f3e0f79154728ea67edb22c9794.jpg
Venant,Yamaha,2025,"Liberte 6 extension,
                                                                                Dakar",800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/346ce0393a71cebb9442fa3e022ebc0e/-/horizon-files-prod/ed/picture/qgqm9vjk/8fcb40de0e0129a1c94f933f3929f86a6dee6b1b.jpg
Neuf,Autre,2025,"Sicap Liberté,
                                                                                Dakar",1 350 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0fd5da129e96f01261fcf73dc08a855b/-/horizon-files-prod/ed/picture/q0gkwqgz/92c09420246acbe2b8993b95c1a98b4b51485306.jpg
Neuf,Lifan,2024,"Sicap Liberté,
                                                                                Dakar",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bdb530ee40e00e73eb8449ee939a5c11/-/horizon-files-prod/ed/picture/q448ej78/cf8b42b55d405814f16003e97961e1f3798c2419.jpg
Venant,Honda,2019,"Fass,
                                                                                Dakar",750 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c3fe68576b8b69b4ff22e818272e32df/-/horizon-files-prod/ed/picture/q2jkqxj6/c83c57ad89710a207072cf6abb4150e28394678b.jpg
Venant,Piaggio,2020,"Médina,
                                                                                Dakar",1 400 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/630526aa3dc1580e4081c6f4149ad065/-/horizon-files-prod/ed/picture/q9mk9v8j/d782305ea60429fb09dd0c5520907df254768381.jpg
Venant,Polaris,2016,"Saly Portudal,
                                                                                Thiès",5 980 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/00cec47bfb9bbea85ad897e7d0b5b9b7/-/horizon-files-prod/ed/picture/qngpmg0r/f298aac38741b8ac98942f2d05327db0f7239ed6.jpg
D'occasion,Piaggio,2014,"Biscuiterie,
                                                                                Dakar",340 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/876368a8cb1503abf5621442231ae4e9/-/horizon-files-prod/ed/picture/qgqm977e/48c7e08e28e9c2b31869274fbbdec3b703aa7b36.jpg
Neuf,Honda,2023,"Sacré-cœur,
                                                                                Dakar",3 750 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8a3ffd07c8e72ac8455c9f86bd9cd895/-/horizon-files-prod/ed/picture/qgqw8m7n/4a558b63dcb97f642f604da3cc1f672aaaff2bd3.jpg
Venant,Autre,2024,"Ouakam,
                                                                                Dakar",2 990 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4b616ab6222077e30b2975e13e08bdfe/-/horizon-files-prod/ed/picture/qq428k9e/c3d9327c26df1e90ea2cfa536dadf47cc7ad2a35.jpg
D'occasion,Vespa,2019,"Fann,
                                                                                Dakar",500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ee5840405f61c2f7b5b781ecb8c9e929/-/horizon-files-prod/ed/picture/qv4deqem/3f4ee0ea47c9abee8f3a9525eb2d7c0d826f4af0.jpg
D'occasion,Honda,2022,"Fann Hock,
                                                                                Dakar",900 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/053636646cc95a16395719f9c52ccae2/-/horizon-files-prod/ed/picture/qm50pd42/481b581a042c64113abbf206f5723e19b42a2868.jpg
D'occasion,Yamaha,2019,"Almadies,
                                                                                Dakar",750 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/591ccf2d62be364e787618c157157106/-/horizon-files-prod/ed/picture/qpdg62qp/23e09f504ebd26229de8b4eead17464958bfac5b.jpg
Venant,Honda,2020,"Dieuppeul,
                                                                                Dakar",580 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/92f726b2e08c0055791f4d4915e5b865/-/horizon-files-prod/ed/picture/q6xqkz2p/a64da0afd5af2d41438ae45b2ac4d13e54799cd3.jpg
Venant,Honda,2022,"Golf,
                                                                                Dakar",3 850 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c0c2a9a593608caa81ce28b0613d7870/-/horizon-files-prod/ed/picture/qxj82k44/c5ea03f020ad9fadc6813e5b142a7d3a0f666cac.jpg
Venant,BMW,2020,"Golf,
                                                                                Dakar",4 700 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a928c3b11f5c386e39ba14fe5d56c822/-/horizon-files-prod/ed/picture/qq4z75pe/798321606c0173b3f04bd0fbbeb321fa2eb8108a.jpg
Venant,Yamaha,2015,"Liberte 6 extension,
                                                                                Dakar",875 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/131b6a14ace938de3fe7ce7a9c7551e2/-/horizon-files-prod/ed/picture/qj46rp0r/8c860cabf1e75cc99cd7e0afac457117d0c427ce.jpg
Neuf,Autre,2024,"Almadies 2,
                                                                                Dakar",350 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ef4199e4d923f22d3add65c2abfa3f51/-/horizon-files-prod/ed/picture/qxj8jq7q/79d654c0a632ada55eddc6b60cf4097c07c0c3b3.jpg
D'occasion,BMW,2019,"Hann Bel-Air,
                                                                                Dakar",1 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/673d0a6bbfd902f922296e165511d9b8/-/horizon-files-prod/ed/picture/qgqmgvg9/ec318e29c90a3ae8a4ef11b35005f07ebe87a2f9.jpg
D'occasion,Honda,2022,"Zac Mbao,
                                                                                Dakar",3 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9e7b7f4ea45b050af95a1bb226446fff/-/horizon-files-prod/ed/picture/qq4z4r47/f68ee72bd0c1615c00c0f27b9827969205fe634a.jpg
Venant,Yamaha,2021,"Parcelles Assainies,
                                                                                Dakar",2 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9243cdef3855dd12f2cea6aab883bad6/-/horizon-files-prod/ed/picture/qkr75j2j/8df739b4e6fd79419d51330bbb8a973aa56f7224.jpg
D'occasion,BMW,2023,"Ndiakhirate,
                                                                                Dakar",4 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7491fdf463f50e4d9e650cbd6babfbfe/-/horizon-files-prod/ed/picture/qxj86rqm/a747b38697d58bdd5583063ae777562be90dc30b.jpg
