etat,marque,annee,boite_vitesse,adresse,prix,image-src
D'occasion,GMC,2014,Automatique,Liberte 6,4 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e81ac46156d8cc07123e3eadc25b4ec4/-/horizon-files-prod/ed/picture/qq42m0xn/febf19476a3e872f91d00dd48646c20f2586383e.jpg
Venant,Dodge,2016,Automatique,Liberte 6,5 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b90acc79d163fd022305092023ace720/-/horizon-files-prod/ed/picture/qj4qnkg4/9847211396395e321193036d83d2e8685db0d657.jpg
Venant,Peugeot,2017,Manuelle,Liberte 6 extension,6 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b615994597248868e9211f02637275eb/-/horizon-files-prod/ed/picture/q78wke8m/a96e772c2d7d6fb28220cdc2df8e1b15fbfa6908.jpg
D'occasion,Ford,2020,Automatique,Ouest foire,17 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2023c1524589b02b2fe2ac8f09425037/-/horizon-files-prod/ed/picture/qwepddrm/cbcc4668ad1df736a523e0eb65efbf6158ef008a.jpg
D'occasion,Mitsubishi,2016,Automatique,Ouest foire,8 300 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0a0f16fde6eacdfb68e27b48ec72d6d6/-/horizon-files-prod/ed/picture/qm5gzz06/058400b02c5c1b4c7bb391de28586e0891f8a2f5.jpg
D'occasion,Mazda,2016,Automatique,Ouest foire,8 700 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/18212efb1b1dde624b682ddde79823c7/-/horizon-files-prod/ed/picture/qj4qnn6z/9412bcf346ad32415605a25a0d37d0bb742f905f.jpg
D'occasion,Renault,2016,Automatique,Ouest foire,6 300 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d036a1311ebbabd9498b181c0a349b4f/-/horizon-files-prod/ed/picture/qde7559j/b25eb54b4fe1abdcff2218538e034b979e9e8dbb.jpg
D'occasion,Mazda,2019,Automatique,Ouest foire,13 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3746c73411a70595bea5eca553e5c9e3/-/horizon-files-prod/ed/picture/qenv66rz/b51ef6cc743bffb3c44d9334e379c0e3bf78a404.jpg
D'occasion,Ford,2016,Automatique,Ouest foire,5 850 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/79d7738c13f5c5d865c114800cff1e17/-/horizon-files-prod/ed/picture/q78wkkjz/4da4462d0fc2093d8357411b1a23814cbc731b4b.jpg
Venant,Range Rover,2016,Automatique,Ouest foire,1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/493c390a88deeea18f6ef9267f1e8319/-/horizon-files-prod/ed/picture/qxjp55g8/9bd2b1ca8959368056da5fe2e248eae58dd72f16.jpg
Venant,Kia,2016,Automatique,Colobane,4 900 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7e5c65fe7c13587042b1f43165eb9ecf/-/horizon-files-prod/ed/picture/qgqwvvp4/8b4b14a2ae9907d0ff75a76622db8686fe3390de.jpg
D'occasion,Kia,2017,Manuelle,Sicap Sacré-cœur,4 700 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2fca970c6a3c5fa1c23db0d13769c27e/-/horizon-files-prod/ed/picture/q0g7qqne/4c91ba67a302b2486844d91d0acf1f32df773897.jpg
D'occasion,Toyota,2019,Manuelle,Rufisque,19 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e729778203b6cc4c80d33acc638a9f0f/-/horizon-files-prod/ed/picture/qzvpnn8q/bd228b4102f4c0719a2f41dd61807c844c6b7d07.jpg
D'occasion,Kia,2015,Automatique,VDN,4 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7d60cda7a576be46f38d978057436292/-/horizon-files-prod/ed/picture/qj4qnvg6/d45fe93d6981a1568f57c96f83ff35f9d8259489.jpg
D'occasion,Mitsubishi,2020,Automatique,Saly Portudal,12 899 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/33ec4e750b97c3b4f813294923289c5d/-/horizon-files-prod/ed/picture/qj4qnvdg/7db2ca85bb4b37ab003af60e2328954474dac107.jpg
D'occasion,Ford,2015,Automatique,Keur ndiaye lô,7 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a07062c0ceca5e2a43f59abae121bdc3/-/horizon-files-prod/ed/picture/qv4w2n6v/8fa440ba180470536334917cbcc1cbbfbd45c776.jpg
D'occasion,Mitsubishi,2015,Automatique,Mbour,4 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/06e32c4cec01249018cb56ec08bdaa03/-/horizon-files-prod/ed/picture/qzvpnk88/7d5bbaa554c5e82c3781991adbea44cad394cbf3.jpg
D'occasion,Ford,2015,Automatique,Sicap baobab,6 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a66c62b364759f2fcd35ef7427a2b3d1/-/horizon-files-prod/ed/picture/qwepqm5m/c06e39eae745b15fff1e8aa2e7e05a78d99db089.jpg
Venant,Lexus,2018,Automatique,Sicap foire,18 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a529c4382c619a4d5ac8575705ed72aa/-/horizon-files-prod/ed/picture/qgqw2528/e0c53b1c6c02016db2a4bc51bf93d919c60f7550.jpg
