details,etat,adresse,prix,image-src
,Neuf,Hann maristes Dakar,,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9b9c98a7363fdeca0967b91bd00432b0/-/horizon-files-prod/ed/picture/qpd6mqkx/49527b6af3a99a502d18d211e369ae9bafe232b6.jpg
,Neuf,Hann maristes Dakar,25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c6e268ad02bf1ef94b6d700279c4a8cf/-/horizon-files-prod/ed/picture/q0g2n5km/cac23acc07cdfdab72b9f520674a869800fd81df.jpg
,Neuf,Hann maristes Dakar,,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a525d75f4ee0e9d802b7c08dcc9ee38c/-/horizon-files-prod/ed/picture/q448nqe2/72c5c3de1b92b294859bf8c719e2f84931fbb3c8.jpg
,Neuf,Hann maristes Dakar,149 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4928c4cf6f950e66b6488850d006500a/-/horizon-files-prod/ed/picture/q2jj4k4g/7a36863f3d545fd721860a89fdd1ba7ab77e946e.jpg
,Neuf,Hann maristes Dakar,,https://i.roamcdn.net/hz/ed/listing-thumb-543w/dcdc4eb313386f099c24302f7ce86cd1/-/horizon-files-prod/ed/picture/qwe2p4k0/4d3bc7a05183c4bc54e9c88608044cb69e3ed292.jpg
,Neuf,Hann maristes Dakar,275 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/db477d6e367b79b04d1c78d8d2df86e9/-/horizon-files-prod/ed/picture/qj4j72ng/76be0808adadeaab1bb0f9add69e6b982d45bc5c.jpg
Détails,Neuf,Castor Dakar,1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f51d03ebd9a0d09c63503c42150c079f/-/horizon-files-prod/ed/picture/qm5pekq2/99a14f6e529cfa3b77e8b35620ef1b5211352828.jpg
Détails,Neuf,Plateau Dakar,1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d805280b65ecf4418df07fc3d7978b1f/-/horizon-files-prod/ed/picture/q0m9qg8/9b9ca0344448abf4df8910e143a411e87fc875e6.jpg
,Neuf,Hann maristes Dakar,145 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6c76e186c009dbcb01e25f3e0bcd2515/-/horizon-files-prod/ed/picture/q7882g6x/803e090daa884d18af4bf2b0e42d8030458d19e8.jpg
,Neuf,Hann maristes Dakar,35 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/408c88fee0316779ca99259cbf1f9569/-/horizon-files-prod/ed/picture/q78789qj/a98783c926c4d60bb289fd6535719932c905eebb.jpg
